Item Code,Description,Short Desc.,$ Cost,$ Retail,Sale UOM Code,Sale UOM Conv,Item Class,Item Class 2,Item Class 3,Vendor
1093,Tanqueray Gin (Component),TanqBott,32.35,0,ML,0.0014,Alcohol,Alcohol - Spirits,Gin,Casa Juilia plc
139,Tanqueray Non Alcoholic Gin (Component),Tanq0%Bott,11.65,0,ML,0.0014,Alcohol,Alcohol - Spirits,Non-Alcoholic,Casa Juilia plc
1430,Tanqueray Non-Alc Double,Tanq0%50ml,0.83181,8.9,50ml,1,Alcohol,Alcohol - Spirits,Non-Alcoholic,Trafalgar
1429,Tanqueray Non-Alc Single,Tanq0%25ml,0.415905,4.45,25ml,1,Alcohol,Alcohol - Spirits,Non-Alcoholic,Trafalgar
1431,Tanqueray Non-Alcoholic,Tanq0%Butt,0,0,Each,1,Parent Sale Button,,,Trafalgar
1228,Tanqueray Single,Tanq25ml,1.154895,4.65,25ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
270,Tasty Tuesday,TastyTues,0,5.5,Each,1,Food,,,Trafalgar
1095,TastyTuesday - Sliders,Sliders,0,5.5,Each,1,Food,Hot Food,,Trafalgar
381,Tea,Tea,0,3.75,Each,1,Hot Drinks,,,Trafalgar
382,Tea For Screen,TeaScreen,0,2,Each,1,Hot Drinks,,,Trafalgar
1056,Teapigs Temple Earl Grey Strong (26) 6x15,Tea,23.94,0,Each,1,Hot Drinks,,,Cafe Praego
1084,Teapigs Temple Everyday Brew 4001 6x50,Tea,54,0,Each,1,Hot Drinks,,,Cafe Praego
1086,Teapigs Temple Lemon & Ginger (20) 6x15,Tea,26.94,0,Each,1,Hot Drinks,,,Cafe Praego
1085,Teapigs Temple Mao Feng Green 4006 6x50,Tea,62,0,Each,1,Hot Drinks,,,Cafe Praego
564,Tempura of Smoked Haddock,TempurHadd,0,16.5,Each,1,Food,Hot Food,,Trafalgar
1506,The Batman Cocktails,Batman2022,0,0,Each,1,Parent Sale Button,,,Trafalgar
1235,The Botanist Double,Botan50ml,1.80642,9.3,50ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
1236,The Botanist Gin,BotanButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
61,The Botanist Gin (Component),BotanBott,25.3,0,ML,0.0014,Alcohol,Alcohol - Spirits,Gin,Casa Juilia plc
1234,The Botanist Single,Botan25ml,0.90321,4.65,25ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
9030,The Chiswick Cinema Double Burger,DBurger,0,16,Each,1,Food,Hot Food,Winter Menu,Trafalgar
9028,The Chiswick Hotdog,HotDog,0,10.5,Each,1,Food,Hot Food,Winter Menu,Trafalgar
1504,The Detective Cocktail,Detective,1.2992,8.5,Each,1,Alcohol,,,Trafalgar
1277,The Duppy Share Double,Duppy50ml,1.35303,9.3,50ml,1,Alcohol,Alcohol - Spirits,Rum Gold,Trafalgar
1278,The Duppy Share Rum,DuppyButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
76,The Duppy Share Rum (Component),DuppyBott,18.95,0,ML,0.0014,Alcohol,Alcohol - Spirits,Rum Gold,Casa Juilia plc
1276,The Duppy Share Single,Duppy25ml,0.676515,4.65,25ml,1,Alcohol,Alcohol - Spirits,Rum Gold,Trafalgar
1505,The Enigma Cocktail,Enigma,0.1155,8.5,Each,1,Alcohol,,,Trafalgar
9047,The Snuffling Pig Co,SnuffPButt,0,0,Each,1,Snacks,,,Trafalgar
316,The Stump Shiraz,Shiraz Stm,0,0,Each,1,Alcohol,Alcohol - Wine,,Enotria
185,Thronbridge Porter,ThornPort,1.3,5.5,Each,1,Alcohol,Alcohol - Beer,,Euroboozer Ltd
860,Tinto Sobre Lias (Component),TintoBott,5.1,0,ML,0.0013,Alcohol,Alcohol - Wine,Red Wines,Enotria
861,Tinto Sobre Lias 125ml,Tinto125ml,0.85017,4.5,125ml,1,Alcohol,Alcohol - Wine,Red Wines,Enotria
862,Tinto Sobre Lias 175ml,Tinto175ml,1.18983,5.9,175ml,1,Alcohol,Alcohol - Wine,Red Wines,Enotria
